92.118.161.21 - - [27/Feb/2021:00:11:39 +0000] "GET / HTTP/1.0" 200 11136
62.69.252.92 - - [27/Feb/2021:00:31:37 +0000] "GET / HTTP/1.1" 200 11156
172.81.237.198 - - [27/Feb/2021:01:42:11 +0000] "GET /login HTTP/1.0" 404 756
172.81.237.198 - - [27/Feb/2021:01:42:12 +0000] "GET /manager/html/ HTTP/1.0" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:13 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:14 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:15 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:16 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:17 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:18 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:19 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:19 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:20 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:21 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:21 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:23 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:25 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:26 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:27 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:27 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:28 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:29 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:29 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:30 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:31 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:31 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:32 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:33 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:35 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:35 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:36 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:37 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:37 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
172.81.237.198 - - [27/Feb/2021:01:42:38 +0000] "GET /manager/html/ HTTP/1.1" 401 2499
150.255.87.162 - - [27/Feb/2021:01:48:15 +0000] "HEAD / HTTP/1.1" 200 -
220.200.164.108 - - [27/Feb/2021:01:48:16 +0000] "CONNECT www.voanews.com:443 HTTP/1.1" 400 795
119.39.47.185 - - [27/Feb/2021:01:48:16 +0000] "GET / HTTP/1.1" 200 6
219.143.174.36 - - [27/Feb/2021:01:48:16 +0000] "GET /english/ HTTP/1.1" 404 728
180.95.238.143 - - [27/Feb/2021:01:48:17 +0000] "CONNECT www.so.com:443 HTTP/1.1" 400 795
221.213.75.43 - - [27/Feb/2021:01:48:17 +0000] "GET / HTTP/1.1" 200 11156
119.118.24.30 - - [27/Feb/2021:01:48:17 +0000] "GET / HTTP/1.1" 200 6
36.106.166.189 - - [27/Feb/2021:01:48:18 +0000] "GET / HTTP/1.1" 200 6
27.224.137.2 - - [27/Feb/2021:01:48:18 +0000] "CONNECT www.baidu.com:443 HTTP/1.1" 400 795
218.68.218.179 - - [27/Feb/2021:01:48:18 +0000] "CONNECT cn.bing.com:443 HTTP/1.1" 400 795
172.104.242.173 - - [27/Feb/2021:02:16:55 +0000] "-" 400 2013
168.232.12.110 - - [27/Feb/2021:03:18:01 +0000] "GET / HTTP/1.1" 200 11156
1.52.198.170 - - [27/Feb/2021:03:23:58 +0000] "GET / HTTP/1.1" 200 11156
1.52.198.170 - - [27/Feb/2021:03:23:58 +0000] "GET /tomcat.css HTTP/1.1" 200 5542
1.52.198.170 - - [27/Feb/2021:03:24:00 +0000] "GET /manager/html HTTP/1.1" 401 2499
1.52.198.170 - admin [27/Feb/2021:03:24:04 +0000] "GET /manager/html HTTP/1.1" 200 19344
1.52.198.170 - - [27/Feb/2021:03:24:05 +0000] "GET /manager/css/manager.css HTTP/1.1" 200 2806
1.52.198.170 - - [27/Feb/2021:03:24:05 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
1.52.198.170 - admin [27/Feb/2021:03:24:09 +0000] "POST /manager/html/undeploy;jsessionid=85542D2AB82F5AF42394D2F0358FCCB1?path=/dophyvn&org.apache.catalina.filters.CSRF_NONCE=9072FBB91748845D8458C1714A924681 HTTP/1.1" 200 16676
1.52.198.170 - admin [27/Feb/2021:03:24:50 +0000] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=C476603E77B9169DAF264A29A67268A1 HTTP/1.1" 200 17848
